date,price,return,log_return
2008-09-03,92.4830932617,-0.0008596834,-0.0008600531
2008-09-04,89.6987533569,-0.0301064747,-0.0305689812
2008-09-05,89.9808273315,0.0031446811,0.0031397469
2008-09-08,91.8394775391,0.0206560693,0.0204456258
2008-09-09,89.1129989624,-0.0296874356,-0.0301370281
2008-09-10,89.4745788574,0.0040575438,0.0040493342
2008-09-11,90.7691116333,0.0144681628,0.0143644977
2008-09-12,91.1885757446,0.0046212209,0.0046105758
2008-09-15,86.8493728638,-0.0475849397,-0.0487543515
2008-09-16,88.3029861450,0.0167371765,0.0165986535
2008-09-17,84.3326034546,-0.0449631758,-0.0460053799
2008-09-18,86.8348846436,0.0296715752,0.0292398924
2008-09-19,90.2834472656,0.0397140232,0.0389456976
2008-09-22,88.2395019531,-0.0226392032,-0.0228994047
2008-09-23,86.2318878174,-0.0227518752,-0.0230146932
2008-09-24,86.5082931519,0.0032053726,0.0032002464
2008-09-25,87.8612289429,0.0156393768,0.0155183420
2008-09-26,87.9048690796,0.0004966939,0.0004965706
2008-09-29,81.0164947510,-0.0783616926,-0.0816024237
2008-09-30,84.3697662354,0.0413899848,0.0405563446
2008-10-01,84.4206848145,0.0006035169,0.0006033348
2008-10-02,81.3583526611,-0.0362746661,-0.0369489483
2008-10-03,80.2600479126,-0.0134995942,-0.0135915422
2008-10-06,76.1720886230,-0.0509339254,-0.0522768573
2008-10-07,72.7606506348,-0.0447859321,-0.0458198087
2008-10-08,70.9276351929,-0.0251924004,-0.0255151612
2008-10-09,65.9741058350,-0.0698392008,-0.0723978054
2008-10-10,64.3738937378,-0.0242551540,-0.0245541550
2008-10-13,73.7208175659,0.1451974284,0.1355770487
2008-10-14,72.6297378540,-0.0148001575,-0.0149107726
2008-10-15,65.4794540405,-0.0984484321,-0.1036380356
2008-10-16,68.2071914673,0.0416579134,0.0408135914
2008-10-17,67.7998733521,-0.0059717767,-0.0059896790
2008-10-20,71.8732757568,0.0600797937,0.0583441824
2008-10-21,69.7274322510,-0.0298559302,-0.0303106930
2008-10-22,65.9304656982,-0.0544544153,-0.0559931798
2008-10-23,66.6942367554,0.0115844936,0.0115179071
2008-10-24,63.3118972778,-0.0507141193,-0.0520452816
2008-10-27,61.0642395020,-0.0355013492,-0.0361468455
2008-10-28,68.1999053955,0.1168550686,0.1105167611
2008-10-29,67.7052917480,-0.0072524096,-0.0072788362
2008-10-30,70.0474929810,0.0345940645,0.0340091416
2008-10-31,70.4330062866,0.0055035989,0.0054885094
2008-11-03,70.6366653442,0.0028915287,0.0028873563
2008-11-04,73.0370483398,0.0339821109,0.0334174751
2008-11-05,69.9674911499,-0.0420273992,-0.0429361019
2008-11-06,66.0904769897,-0.0554116504,-0.0570060553
2008-11-07,68.2726669312,0.0330182205,0.0324848284
2008-11-10,67.3779678345,-0.0131047920,-0.0131914174
2008-11-11,65.2976379395,-0.0308755215,-0.0313622146
2008-11-12,62.4244613647,-0.0440012329,-0.0449986556
2008-11-13,66.3159790039,0.0623396270,0.0604736712
2008-11-14,63.0063667297,-0.0499067091,-0.0511950983
2008-11-17,62.1698646545,-0.0132764690,-0.0133653892
2008-11-18,63.3409767151,0.0188372947,0.0186620699
2008-11-19,59.2821273804,-0.0640793613,-0.0662245939
2008-11-20,54.8814392090,-0.0742329664,-0.0771326596
2008-11-21,57.8419113159,0.0539430480,0.0525384145
2008-11-24,61.8498344421,0.0692909870,0.0669957999
2008-11-25,62.3080711365,0.0074088589,0.0073815481
2008-11-26,64.7157592773,0.0386416735,0.0379137763
2008-11-28,65.5303878784,0.0125877933,0.0125092257
2008-12-01,59.7258529663,-0.0885777591,-0.0927489975
2008-12-02,62.0243949890,0.0384848756,0.0377628005
2008-12-03,63.5155410767,0.0240412839,0.0237568421
2008-12-04,62.0462226868,-0.0231332106,-0.0234049828
2008-12-05,63.9592361450,0.0308320696,0.0303663107
2008-12-08,66.1923370361,0.0349144397,0.0343187563
2008-12-09,65.1012573242,-0.0164834747,-0.0166208387
2008-12-10,65.5449600220,0.0068155780,0.0067924570
2008-12-11,63.9665374756,-0.0240815243,-0.0243762250
2008-12-12,64.7303009033,0.0119400464,0.0118693265
2008-12-15,63.8283081055,-0.0139346301,-0.0140326285
2008-12-16,66.8324432373,0.0470658744,0.0459918472
2008-12-17,66.1850357056,-0.0096870247,-0.0097342492
2008-12-18,64.9484939575,-0.0186831016,-0.0188598355
2008-12-19,64.6691131592,-0.0043015747,-0.0043108531
2008-12-22,63.8404922485,-0.0128132407,-0.0128960383
2008-12-23,63.1805305481,-0.0103376662,-0.0103914710
2008-12-24,63.5471916199,0.0058033870,0.0057866123
2008-12-26,63.9138069153,0.0057691817,0.0057526037
2008-12-29,63.7305297852,-0.0028675671,-0.0028716865
2008-12-30,65.2411041260,0.0237025229,0.0234259794
2008-12-31,66.1723632812,0.0142741170,0.0141732010
2009-01-02,68.1669540405,0.0301423534,0.0296969999
2009-01-05,68.0862731934,-0.0011835771,-0.0011842781
2009-01-06,68.5408859253,0.0066770101,0.0066548176
2009-01-07,66.4876785278,-0.0299559507,-0.0304137968
2009-01-08,66.7590255737,0.0040811629,0.0040728575
2009-01-09,65.3290863037,-0.0214194149,-0.0216521398
2009-01-12,63.7598342896,-0.0240207250,-0.0243139274
2009-01-13,63.8771705627,0.0018402851,0.0018385939
2009-01-14,61.8679466248,-0.0314544918,-0.0319598089
2009-01-15,61.8899116516,0.0003550308,0.0003549678
2009-01-16,62.3738822937,0.0078198632,0.0077894465
2009-01-20,59.0814247131,-0.0527858369,-0.0542300624
2009-01-21,61.6332817078,0.0431922048,0.0422854397
2009-01-22,60.6800079346,-0.0154668670,-0.0155877269
2009-01-23,60.9440116882,0.0043507534,0.0043413163
2009-01-26,61.3619499207,0.0068577407,0.0068343334
2009-01-27,61.9852600098,0.0101579251,0.0101066801
2009-01-28,64.0824737549,0.0338340719,0.0332742912
2009-01-29,61.9999313354,-0.0324978469,-0.0330376286
2009-01-30,60.7386589050,-0.0203431262,-0.0205528974
2009-02-02,60.5553550720,-0.0030179104,-0.0030224735
2009-02-03,61.4059600830,0.0140467348,0.0139489936
2009-02-04,61.1053047180,-0.0048961919,-0.0049082175
2009-02-05,62.0145835876,0.0148805226,0.0147708939
2009-02-06,63.7818260193,0.0284972071,0.0280987146
2009-02-09,63.8698234558,0.0013796632,0.0013787123
2009-02-10,60.9440116882,-0.0458089847,-0.0468914019
2009-02-11,61.3032836914,0.0058951158,0.0058778075
2009-02-12,61.3472785950,0.0007176598,0.0007174024
2009-02-13,60.6873397827,-0.0107574260,-0.0108157055
2009-02-17,58.0914688110,-0.0427745059,-0.0437162892
2009-02-18,57.9521331787,-0.0023985558,-0.0024014370
2009-02-19,57.3288536072,-0.0107550756,-0.0108133295
2009-02-20,56.7715415955,-0.0097213179,-0.0097688784
2009-02-23,54.7403297424,-0.0357786982,-0.0364344445
2009-02-24,56.8155555725,0.0379103641,0.0372094266
2009-02-25,56.3682365417,-0.0078731789,-0.0079043360
2009-02-26,55.4516220093,-0.0162611887,-0.0163948529
2009-02-27,54.2123680115,-0.0223483814,-0.0226018906
2009-03-02,51.7704772949,-0.0450430558,-0.0460890241
2009-03-03,51.3818511963,-0.0075067127,-0.0075350299
2009-03-04,52.5991096497,0.0236904359,0.0234141722
2009-03-05,50.4505348206,-0.0408481216,-0.0417058450
2009-03-06,50.5385665894,0.0017449125,0.0017433919
2009-03-09,49.9445915222,-0.0117529069,-0.0118225183
2009-03-10,52.9217453003,0.0596091326,0.0579000973
2009-03-11,53.2664146423,0.0065128113,0.0064916946
2009-03-12,55.3636207581,0.0393720157,0.0386166998
2009-03-13,55.7962532043,0.0078143814,0.0077840072
2009-03-16,55.6275978088,-0.0030227011,-0.0030272787
2009-03-17,57.3288536072,0.0305829456,0.0301246088
2009-03-18,58.6121330261,0.0223845296,0.0221376730
2009-03-19,57.8861503601,-0.0123862182,-0.0124635667
2009-03-20,56.6535301208,-0.0212938714,-0.0215238565
2009-03-23,60.7228927612,0.0718289334,0.0693664728
2009-03-24,59.5264587402,-0.0197031789,-0.0198998745
2009-03-25,60.1542053223,0.0105456732,0.0104904555
2009-03-26,61.3801841736,0.0203806009,0.0201756958
2009-03-27,60.2723846436,-0.0180481624,-0.0182130170
2009-03-30,58.1897048950,-0.0345544607,-0.0351655855
2010-05-04,88.5346908569,-0.0235144939,-0.0237953714
2010-05-05,88.0073394775,-0.0059564378,-0.0059742481
2010-05-06,85.0843200684,-0.0332133596,-0.0337774486
2010-05-07,83.8186645508,-0.0148753086,-0.0149870556
2010-05-10,87.5101470947,0.0440412951,0.0430990434
2010-05-11,87.2614822388,-0.0028415545,-0.0028455994
2010-05-12,88.4819183350,0.0139859657,0.0138890645
2010-05-13,87.3820343018,-0.0124306079,-0.0125085142
2010-05-14,85.8000030518,-0.0181047656,-0.0182706623
2010-05-17,85.8451766968,0.0005264993,0.0005263608
2010-05-18,84.6774978638,-0.0136021484,-0.0136955052
2010-05-19,84.1953201294,-0.0056942842,-0.0057105584
2010-05-20,81.0161590576,-0.0377593561,-0.0384907100
2010-05-21,82.1989440918,0.0145993719,0.0144938271
2010-05-24,81.1442413330,-0.0128310986,-0.0129141282
2010-05-25,81.2271118164,0.0010212737,0.0010207526
2010-05-26,80.7374114990,-0.0060287791,-0.0060470256
2010-05-27,83.4419784546,0.0334983114,0.0329494663
2010-05-28,82.3948059082,-0.0125497090,-0.0126291217
2010-06-01,81.0085983276,-0.0168239680,-0.0169670986
2010-06-02,83.1180267334,0.0260395618,0.0257063053
2010-06-03,83.4042816162,0.0034439567,0.0034380398
2010-06-04,80.4737472534,-0.0351364979,-0.0357686362
2010-06-07,79.4717864990,-0.0124507779,-0.0125289383
2010-06-08,80.3230819702,0.0107119207,0.0106549545
2010-06-09,79.8936386108,-0.0053464502,-0.0053607936
2010-06-10,82.2290802002,0.0292318842,0.0288127805
2010-06-11,82.6283493042,0.0048555706,0.0048438203
2010-06-14,82.5002746582,-0.0015500085,-0.0015512110
2010-06-15,84.3761291504,0.0227375545,0.0224829091
2010-06-16,84.3460159302,-0.0003568926,-0.0003569563
2010-06-17,84.4816360474,0.0016079019,0.0016066106
2010-06-18,84.5732269287,0.0010841514,0.0010835641
2010-06-21,84.3309936523,-0.0028641839,-0.0028682935
2010-06-22,82.9381866455,-0.0165159563,-0.0166538653
2010-06-23,82.6808319092,-0.0031029704,-0.0031077946
2010-06-24,81.3107604980,-0.0165706051,-0.0167094333
2010-06-25,81.6514205933,0.0041896066,0.0041808546
2010-06-28,81.3940277100,-0.0031523381,-0.0031573172
2010-06-29,78.8809967041,-0.0308748821,-0.0313615547
2011-07-05,103.3186492920,-0.0008212015,-0.0008215389
2011-07-06,103.4421920776,0.0011957453,0.0011950309
2011-07-07,104.5154266357,0.0103752109,0.0103217578
2011-07-08,103.7741775513,-0.0070922457,-0.0071175152
2011-07-11,101.8979263306,-0.0180801358,-0.0182455786
2011-07-12,101.4578094482,-0.0043191937,-0.0043285484
2011-07-13,101.7975463867,0.0033485539,0.0033429599
2011-07-14,101.0949172974,-0.0069022203,-0.0069261508
2011-07-15,101.6817398071,0.0058046688,0.0057878866
2011-07-18,100.8478317261,-0.0082011587,-0.0082349732
2011-07-19,102.4847488403,0.0162315549,0.0161012315
2011-07-20,102.4229583740,-0.0006029235,-0.0006031054
