date,price,return,log_return
2007-01-04,60.6915245056,0.0026863434,0.0026827416
2007-01-05,59.4214782715,-0.0209262536,-0.0211483110
2007-01-08,59.1891403198,-0.0039099995,-0.0039176636
2007-01-09,59.7467231750,0.0094203574,0.0093762625
2007-01-10,60.2113723755,0.0077769822,0.0077468973
2007-01-11,60.5831298828,0.0061742075,0.0061552252
2007-01-12,61.1639251709,0.0095867495,0.0095410882
2007-01-16,60.7534637451,-0.0067108418,-0.0067334608
2007-01-17,60.4901733398,-0.0043337513,-0.0043431693
2007-01-18,59.9868011475,-0.0083215531,-0.0083563706
2007-01-19,60.2191314697,0.0038730240,0.0038655432
2007-01-22,59.7777099609,-0.0073302537,-0.0073572520
2007-01-23,60.3430023193,0.0094565743,0.0094121409
2007-01-24,61.0013084412,0.0109094029,0.0108503246
2007-01-25,60.2346038818,-0.0125686576,-0.0126483113
2007-01-26,60.4592094421,0.0037288460,0.0037219111
2007-01-29,60.9858055115,0.0087099397,0.0086722270
2007-01-30,61.3188018799,0.0054602274,0.0054453744
2007-01-31,61.4504699707,0.0021472711,0.0021449690
2007-02-01,62.1087036133,0.0107116128,0.0106546499
2007-02-02,62.1474418640,0.0006237169,0.0006235225
2007-02-05,62.1397209167,-0.0001242360,-0.0001242437
2007-02-06,62.2945289612,0.0024912897,0.0024881915
2007-02-07,62.8676681519,0.0092004739,0.0091584074
2007-02-08,62.7669525146,-0.0016020260,-0.0016033106
2007-02-09,62.1939201355,-0.0091295237,-0.0091714532
2007-02-12,62.0235519409,-0.0027393063,-0.0027430650
2007-02-13,62.4804573059,0.0073666430,0.0073396418
2007-02-14,62.5733528137,0.0014867930,0.0014856888
2007-02-15,62.6198539734,0.0007431464,0.0007428704
2007-02-16,62.8598823547,0.0038331035,0.0038257759
2007-02-20,63.4639587402,0.0096098873,0.0095640060
2007-02-21,63.5800971985,0.0018299908,0.0018283184
2007-02-22,63.8047065735,0.0035326995,0.0035264741
2007-02-23,63.4639587402,-0.0053404812,-0.0053547925
2007-02-26,63.4175148010,-0.0007318160,-0.0007320839
2007-02-27,60.4437294006,-0.0468921781,-0.0480272423
2007-02-28,61.0477561951,0.0099932086,0.0099436066
2007-03-01,60.7302093506,-0.0052016137,-0.0052151892
2007-03-02,59.5221557617,-0.0198921361,-0.0200926482
2007-03-05,58.2133674622,-0.0219882543,-0.0222335991
2007-03-06,59.8009071350,0.0272710503,0.0269058205
2007-03-07,59.6073379517,-0.0032368938,-0.0032421438
