date,price,return,log_return
2008-01-03,103.7281570435,-0.0004830755,-0.0004831922
2008-01-04,101.1861343384,-0.0245065831,-0.0248118674
2008-01-07,101.1002197266,-0.0008490749,-0.0008494356
2008-01-08,99.4676361084,-0.0161481708,-0.0162799734
2008-01-09,100.5130386353,0.0105099766,0.0104551307
2008-01-10,101.1718063354,0.0065540522,0.0065326678
2008-01-11,100.3554916382,-0.0080685986,-0.0081013259
2008-01-14,101.1646499634,0.0080629202,0.0080305886
2008-01-15,98.9377059937,-0.0220130645,-0.0222589675
2008-01-16,98.0856323242,-0.0086122238,-0.0086495233
2008-01-17,95.5435867310,-0.0259165948,-0.0262583474
2008-01-18,94.5625839233,-0.0102675945,-0.0103206699
2008-01-22,93.6030654907,-0.0101469143,-0.0101987451
2008-01-23,95.8515014648,0.0240209652,0.0237370002
2008-01-24,96.6606369019,0.0084415520,0.0084061214
2008-01-25,95.2643127441,-0.0144456337,-0.0145509877
2008-01-28,96.8396682739,0.0165366808,0.0164014388
2008-01-29,97.3194427490,0.0049543176,0.0049420854
2008-01-30,96.6033859253,-0.0073577982,-0.0073850003
2008-01-31,98.3648757935,0.0182342456,0.0180699954
2008-02-01,99.9473342896,0.0160876378,0.0159596031
2008-02-04,98.6871032715,-0.0126089508,-0.0126891182
2008-02-05,96.0448608398,-0.0267739385,-0.0271388892
2008-02-06,95.2715148926,-0.0080519243,-0.0080845161
2008-02-07,95.9016265869,0.0066138519,0.0065920764
2008-02-08,95.2858352661,-0.0064210727,-0.0064417765
2008-02-11,95.7727279663,0.0051098120,0.0050968012
2008-02-12,96.6606369019,0.0092709997,0.0092282878
2008-02-13,97.6487960815,0.0102229740,0.0101710728
2008-02-14,96.7895431519,-0.0087994216,-0.0088383652
2008-02-15,96.7680587769,-0.0002219700,-0.0002219946
2008-02-19,97.0401611328,0.0028119026,0.0028079566
2008-02-20,97.3265686035,0.0029514323,0.0029470854
2008-02-21,96.5174331665,-0.0083136131,-0.0083483639
2008-02-22,97.1117935181,0.0061580621,0.0061391788
2008-02-25,98.3362426758,0.0126086556,0.0125298284
2008-02-26,99.0737609863,0.0074999643,0.0074719794
2008-02-27,98.9735260010,-0.0010117208,-0.0010122329
2008-02-28,98.0068664551,-0.0097668496,-0.0098148582
2008-02-29,95.8228683472,-0.0222841336,-0.0225361763
2008-03-03,95.5937271118,-0.0023913001,-0.0023941638
2008-03-04,95.2285308838,-0.0038202949,-0.0038276109
2008-03-05,95.8300170898,0.0063162395,0.0062963756
2008-03-06,93.8465576172,-0.0206976846,-0.0209148840
2008-03-07,92.8798751831,-0.0103006701,-0.0103540892
2008-03-10,91.6553878784,-0.0131835589,-0.0132712334
2008-03-11,94.9492721558,0.0359377048,0.0353070116
2008-03-12,94.0613555908,-0.0093514836,-0.0093954833
2008-03-13,94.2690429688,0.0022079990,0.0022055649
2008-03-14,92.8082504272,-0.0154959942,-0.0156173120
2008-03-17,91.8702239990,-0.0101071448,-0.0101585688
2008-03-18,95.6868133545,0.0415432682,0.0407035250
2008-03-19,93.3166656494,-0.0247698468,-0.0250817812
2008-03-20,95.0451583862,0.0185228729,0.0183534139
2008-03-24,96.9448776245,0.0199875435,0.0197904150
2008-03-25,97.0384521484,0.0009652343,0.0009647688
2008-03-26,95.8510971069,-0.0122359231,-0.0123113983
2008-03-27,95.5488815308,-0.0031529694,-0.0031579505
2008-03-28,94.6349639893,-0.0095649214,-0.0096109591
2008-03-31,94.9659729004,0.0034977444,0.0034916415
2008-04-01,98.3049087524,0.0351592865,0.0345553149
2008-04-02,98.3697052002,0.0006591375,0.0006589203
2008-04-03,98.6143569946,0.0024870644,0.0024839768
2008-04-04,98.5064468384,-0.0010942642,-0.0010948633
