date,price,return,log_return
2022-01-04,451.7237548828,-0.0003349757,-0.0003350318
2022-01-05,443.0497741699,-0.0192019583,-0.0193887105
2022-01-06,442.6335449219,-0.0009394639,-0.0009399054
2022-01-07,440.8834533691,-0.0039538159,-0.0039616529
2022-01-10,440.3348693848,-0.0012442834,-0.0012450582
2022-01-11,444.3457031250,0.0091085990,0.0090673659
2022-01-12,445.5469360352,0.0027033747,0.0026997271
2022-01-13,439.4079284668,-0.0137785878,-0.0138743936
2022-01-14,439.5876464844,0.0004090004,0.0004089168
2022-01-18,431.8027038574,-0.0177096483,-0.0178683405
2022-01-19,427.3190612793,-0.0103835445,-0.0104378296
2022-01-20,422.5894165039,-0.0110681811,-0.0111298892
2022-01-21,414.2937622070,-0.0196305302,-0.0198257684
2022-01-24,416.0531616211,0.0042467437,0.0042377517
2022-01-25,410.9736328125,-0.0122088456,-0.0122839858
2022-01-26,409.9425659180,-0.0025088395,-0.0025119919
2022-01-27,407.9182128906,-0.0049381382,-0.0049503711
2022-01-28,418.0491333008,0.0248356658,0.0245322737
2022-01-31,425.5785522461,0.0180108469,0.0178505732
2022-02-01,428.4542541504,0.0067571589,0.0067344316
2022-02-02,432.6162719727,0.0097140308,0.0096671529
2022-02-03,422.4476318359,-0.0235049877,-0.0237856364
2022-02-04,424.4340209961,0.0047020956,0.0046910753
2022-02-07,423.0718994141,-0.0032092658,-0.0032144265
2022-02-08,426.5528869629,0.0082278865,0.0081942219
2022-02-09,432.7959594727,0.0146361042,0.0145300302
2022-02-10,425.0204772949,-0.0179656996,-0.0181290421
2022-02-11,416.6396484375,-0.0197186472,-0.0199156539
2022-02-14,415.2774963379,-0.0032693770,-0.0032747331
2022-02-15,421.9746398926,0.0161269118,0.0159982545
2022-02-16,422.4476318359,0.0011209013,0.0011202736
2022-02-17,413.4235229492,-0.0213614853,-0.0215929440
2022-02-18,410.7465820312,-0.0064750571,-0.0064961112
2022-02-22,406.3385620117,-0.0107317266,-0.0107897269
2022-02-23,399.1307067871,-0.0177385459,-0.0178977595
2022-02-24,405.1372680664,0.0150491084,0.0149369940
2022-02-25,414.0762634277,0.0220641152,0.0218242249
2022-02-28,413.0168151855,-0.0025585824,-0.0025618612
2022-03-01,406.7264404297,-0.0152303115,-0.0153474839
2022-03-02,414.2087097168,0.0183963189,0.0182291536
2022-03-03,412.1465148926,-0.0049786370,-0.0049910717
2022-03-04,408.7980346680,-0.0081244900,-0.0081576735
2022-03-07,396.7469787598,-0.0294792413,-0.0299224869
2022-03-08,393.7389526367,-0.0075817241,-0.0076106115
2022-03-09,404.2954406738,0.0268108806,0.0264577665
2022-03-10,402.4698791504,-0.0045154146,-0.0045256398
2022-03-11,397.3523559570,-0.0127152949,-0.0127968261
2022-03-14,394.4483947754,-0.0073082772,-0.0073351135
2022-03-15,403.1224975586,0.0219904629,0.0217521599
2022-03-16,412.0614318848,0.0221742383,0.0219319648
2022-03-17,417.2167358398,0.0125110082,0.0124333922
2022-03-18,421.7863769531,0.0109526793,0.0108931331
2022-03-21,421.6630249023,-0.0002924515,-0.0002924943
