date,price,return,log_return
2007-01-04,99.6058273315,0.0021220629,0.0021198145
2007-01-05,98.8113784790,-0.0079759275,-0.0080079053
2007-01-08,99.2683563232,0.0046247492,0.0046140879
2007-01-09,99.1840133667,-0.0008496459,-0.0008500071
2007-01-10,99.5144653320,0.0033317059,0.0033261681
2007-01-11,99.9503402710,0.0043800159,0.0043704515
2007-01-12,100.7096786499,0.0075971565,0.0075684435
2007-01-16,100.5128021240,-0.0019548918,-0.0019568051
2007-01-17,100.5550003052,0.0004198289,0.0004197408
2007-01-18,100.2175216675,-0.0033561597,-0.0033618042
2007-01-19,100.4144058228,0.0019645682,0.0019626410
2007-01-22,100.1050415039,-0.0030808759,-0.0030856315
2007-01-23,100.4003219604,0.0029497061,0.0029453643
2007-01-24,101.2088394165,0.0080529369,0.0080206850
2007-01-25,100.0206680298,-0.0117397986,-0.0118092541
2007-01-26,99.9292831421,-0.0009136600,-0.0009140777
2007-01-29,99.8730239868,-0.0005629897,-0.0005631482
2007-01-30,100.3933029175,0.0052094040,0.0051958820
2007-01-31,101.0682754517,0.0067232825,0.0067007820
2007-02-01,101.6728668213,0.0059820094,0.0059641882
2007-02-02,101.8135147095,0.0013833375,0.0013823816
2007-02-05,101.8416748047,0.0002765850,0.0002765468
2007-02-06,101.8697509766,0.0002756845,0.0002756465
2007-02-07,102.0947570801,0.0022087627,0.0022063269
2007-02-08,101.9611740112,-0.0013084224,-0.0013092791
2007-02-09,101.2018051147,-0.0074476280,-0.0074755001
2007-02-12,100.8573379517,-0.0034037650,-0.0034095710
2007-02-13,101.7080841064,0.0084351439,0.0083997668
2007-02-14,102.3759841919,0.0065668338,0.0065453661
2007-02-15,102.5095901489,0.0013050517,0.0013042009
2007-02-16,102.4603347778,-0.0004804952,-0.0004806107
2007-02-20,102.6782913208,0.0021272285,0.0021249691
2007-02-21,102.6361236572,-0.0004106775,-0.0004107618
2007-02-22,102.5588073730,-0.0007533048,-0.0007535887
2007-02-23,102.1580276489,-0.0039078041,-0.0039154595
2007-02-26,102.0666046143,-0.0008949178,-0.0008953185
2007-02-27,98.0801391602,-0.0390574906,-0.0398406956
2007-02-28,99.0855636597,0.0102510509,0.0101988652
2007-03-01,98.7902526855,-0.0029803633,-0.0029848134
2007-03-02,97.4965972900,-0.0130949700,-0.0131814651
2007-03-05,96.5685501099,-0.0095187648,-0.0095643578
2007-03-06,98.2208023071,0.0171096304,0.0169649091
2007-03-07,98.1223144531,-0.0010027189,-0.0010032220
2007-03-08,98.9519348145,0.0084549612,0.0084194182
2007-03-09,98.9801177979,0.0002848149,0.0002847743
2007-03-12,99.1277847290,0.0014918848,0.0014907730
2007-03-13,97.2012863159,-0.0194344948,-0.0196258276
2007-03-14,97.9254760742,0.0074504133,0.0074227961
2007-03-15,98.0590820312,0.0013643636,0.0013634337
2007-03-16,97.7844543457,-0.0028006349,-0.0028045640
2007-03-19,98.9632492065,0.0120550334,0.0119829502
2007-03-20,99.5068054199,0.0054925057,0.0054774769
2007-03-21,101.1444168091,0.0164572803,0.0163233269
2007-03-22,101.0667572021,-0.0007678091,-0.0007681040
2007-03-23,101.2149887085,0.0014666693,0.0014655948
2007-03-26,101.0808639526,-0.0013251472,-0.0013260260
2007-03-27,100.8408889771,-0.0023740891,-0.0023769117
2007-03-28,100.1067886353,-0.0072797885,-0.0073064154
2007-03-29,100.2126770020,0.0010577541,0.0010571951
2007-03-30,100.2338485718,0.0002112664,0.0002112441
2007-04-02,100.3467864990,0.0011267444,0.0011261101
2007-04-03,101.4267730713,0.0107625427,0.0107050387
2007-04-04,101.5397033691,0.0011134170,0.0011127977
2007-04-05,101.8149948120,0.0027111704,0.0027075019
2007-04-09,101.9561996460,0.0013868766,0.0013859158
2007-04-10,102.0761489868,0.0011764791,0.0011757876
2007-04-11,101.6597137451,-0.0040796527,-0.0040879972
2007-04-12,102.1114959717,0.0044440635,0.0044342178
2007-04-13,102.5773544312,0.0045622528,0.0045518773
2007-04-16,103.5514678955,0.0094963793,0.0094515721
2007-04-17,103.8267517090,0.0026584250,0.0026548977
2007-04-18,103.9537887573,0.0012235483,0.0012228004
2007-04-19,103.9255447388,-0.0002716978,-0.0002717347
2007-04-20,104.9067459106,0.0094413859,0.0093970946
2007-04-23,104.5114212036,-0.0037683440,-0.0037754621
2007-04-24,104.5537796021,0.0004052992,0.0004052171
2007-04-25,105.5137863159,0.0091819417,0.0091400440
2007-04-26,105.6337432861,0.0011368843,0.0011362386
2007-04-27,105.5490722656,-0.0008015528,-0.0008018742
2007-04-30,104.6737899780,-0.0082926573,-0.0083272327
2007-05-01,104.9419937134,0.0025622817,0.0025590046
2007-05-02,105.5561065674,0.0058519267,0.0058348707
2007-05-03,106.1279144287,0.0054170988,0.0054024791
2007-05-04,106.5302734375,0.0037912646,0.0037840959
2007-05-07,106.5514373779,0.0001986660,0.0001986462
2007-05-08,106.4102401733,-0.0013251553,-0.0013260341
2007-05-09,106.6996536255,0.0027197895,0.0027160975
2007-05-10,105.5843887329,-0.0104523759,-0.0105073857
2007-05-11,106.4878921509,0.0085571686,0.0085207636
2007-05-14,106.2549209595,-0.0021877716,-0.0021901683
2007-05-15,106.2831802368,0.0002659574,0.0002659220
2007-05-16,107.0102310181,0.0068406946,0.0068174032
2007-05-17,106.7984924316,-0.0019786761,-0.0019806363
2007-05-18,107.7302017212,0.0087239929,0.0086861588
2007-05-21,107.6737136841,-0.0005243473,-0.0005244848
2007-05-22,107.5890197754,-0.0007865792,-0.0007868888
2007-05-23,107.6032028198,0.0001318261,0.0001318174
2007-05-24,106.6290512085,-0.0090531842,-0.0090944133
2007-05-25,107.0737304688,0.0041703387,0.0041616670
2007-05-29,107.4619445801,0.0036256709,0.0036191140
2007-05-30,108.3372573853,0.0081453282,0.0081123340
2007-05-31,108.2243041992,-0.0010426070,-0.0010431509
2007-06-01,108.7607879639,0.0049571468,0.0049449006
2007-06-04,108.7749099731,0.0001298447,0.0001298362
2007-06-05,108.3443298340,-0.0039584509,-0.0039663063
2007-06-06,107.1796798706,-0.0107495239,-0.0108077174
2007-06-07,105.2455749512,-0.0180454441,-0.0182102488
2007-06-08,106.6149444580,0.0130111837,0.0129272654
2007-06-11,106.7984924316,0.0017215970,0.0017201168
2007-06-12,105.6337432861,-0.0109060448,-0.0109659517
2007-06-13,107.2148742676,0.0149680484,0.0148571326
2007-06-14,107.8996353149,0.0063868102,0.0063665009
2007-06-15,108.5135345459,0.0056895394,0.0056734151
2007-06-18,108.3859558105,-0.0011756942,-0.0011763859
2007-06-19,108.6553268433,0.0024852946,0.0024822114
2007-06-20,107.1453704834,-0.0138967541,-0.0139942180
2007-06-21,107.7408447266,0.0055576292,0.0055422426
2007-06-22,106.7270812988,-0.0094092768,-0.0094538237
2007-06-25,106.2166137695,-0.0047829241,-0.0047943989
2007-06-26,105.1249313354,-0.0102778878,-0.0103310700
2007-06-27,106.6207809448,0.0142292565,0.0141289708
2007-06-28,106.6065444946,-0.0001335242,-0.0001335331
2007-06-29,106.6420059204,0.0003326384,0.0003325830
2007-07-02,107.6061325073,0.0090407769,0.0090001538
2007-07-03,107.9960784912,0.0036238268,0.0036172765
2007-07-05,107.8825759888,-0.0010509873,-0.0010515399
2007-07-06,108.4497375488,0.0052572119,0.0052434410
2007-07-09,108.5348129272,0.0007844683,0.0007841607
2007-07-10,106.9893951416,-0.0142389132,-0.0143412593
2007-07-11,107.7479248047,0.0070897649,0.0070647507
2007-07-12,109.4492721558,0.0157900707,0.0156667045
2007-07-13,109.7754135132,0.0029798403,0.0029754094
2007-07-16,109.7612533569,-0.0001289921,-0.0001290004
2007-07-17,109.7044906616,-0.0005171469,-0.0005172807
2007-07-18,109.5060272217,-0.0018090731,-0.0018107114
2007-07-19,109.9313888550,0.0038843673,0.0038768426
2007-07-20,108.8183670044,-0.0101246956,-0.0101762990
2007-07-23,109.1515426636,0.0030617594,0.0030570818
2007-07-24,107.2587966919,-0.0173405334,-0.0174926414
2007-07-25,107.4785079956,0.0020484222,0.0020463271
2007-07-26,104.9335098267,-0.0236791356,-0.0239639921
2007-07-27,102.8705673218,-0.0196595207,-0.0198553398
2007-07-30,104.4798278809,0.0156435470,0.0155224481
2007-07-31,103.3030166626,-0.0112635256,-0.0113274395
2007-08-01,103.8063278198,0.0048721826,0.0048603519
2007-08-02,104.6358108521,0.0079906789,0.0079589225
2007-08-03,101.9419021606,-0.0257455709,-0.0260827887
2007-08-06,103.6503982544,0.0167595077,0.0166206168
2007-08-07,104.7563247681,0.0106697758,0.0106132555
2007-08-08,106.2166137695,0.0139398648,0.0138435985
2007-08-09,103.0690841675,-0.0296331194,-0.0300810516
2007-08-10,102.5870361328,-0.0046769411,-0.0046879122
2007-08-13,102.9556579590,0.0035932593,0.0035868190
2007-08-14,101.3818511963,-0.0152862581,-0.0154042974
2007-08-15,99.9853057861,-0.0137751027,-0.0138708598
2007-08-16,100.7367477417,0.0075155239,0.0074874231
2007-08-17,102.5870361328,0.0183675613,0.0182009152
2007-08-20,102.5374069214,-0.0004837766,-0.0004838937
2007-08-21,102.7429351807,0.0020044222,0.0020024161
2007-08-22,103.9623336792,0.0118684413,0.0117985637
2007-08-23,103.8701705933,-0.0008865046,-0.0008868978
2007-08-24,105.1533279419,0.0123534730,0.0122777915
2007-08-27,104.1749801636,-0.0093040116,-0.0093475642
2007-08-28,101.8851928711,-0.0219802038,-0.0222253676
2007-08-29,103.8843307495,0.0196214761,0.0194314566
2007-08-30,103.6078948975,-0.0026609966,-0.0026645434
2007-08-31,104.6287078857,0.0098526564,0.0098044355
2007-09-04,105.6849670410,0.0100953092,0.0100446919
2007-09-05,104.7704467773,-0.0086532672,-0.0086909242
2007-09-06,105.0115051270,0.0023008239,0.0022981811
2007-09-07,103.5511474609,-0.0139066445,-0.0140042478
2007-09-10,103.3526535034,-0.0019168687,-0.0019187083
2007-09-11,104.5578079224,0.0116606045,0.0115931436
2007-09-12,104.8271636963,0.0025761421,0.0025728296
2007-09-13,105.5644760132,0.0070335998,0.0070089794
2007-09-14,105.5573577881,-0.0000674301,-0.0000674324
2007-09-17,104.9902191162,-0.0053728009,-0.0053872863
2007-09-18,108.0810852051,0.0294395622,0.0290145398
2007-09-19,108.7191238403,0.0059033330,0.0058859766
2007-09-20,107.9535369873,-0.0070418784,-0.0070667895
2007-09-21,108.2448043823,0.0026980811,0.0026944478
2007-09-24,108.0453491211,-0.0018426313,-0.0018443310
2007-09-25,107.8317184448,-0.0019772316,-0.0019791889
2007-09-26,108.4015121460,0.0052841011,0.0052701892
2007-09-27,109.0425872803,0.0059138948,0.0058964763
2007-09-28,108.6792907715,-0.0033316938,-0.0033372562
2007-10-01,109.9044342041,0.0112730164,0.0112099495
2007-10-02,109.7548065186,-0.0013614345,-0.0013623621
2007-10-03,109.5340270996,-0.0020115695,-0.0020135954
2007-10-04,109.7050094604,0.0015609977,0.0015597806
2007-10-05,111.0084686279,0.0118814918,0.0118114610
2007-10-08,110.4173049927,-0.0053253922,-0.0053396227
2007-10-09,111.4571380615,0.0094173017,0.0093732353
2007-10-10,111.2720184326,-0.0016609042,-0.0016622850
2007-10-11,110.7377929688,-0.0048010764,-0.0048126386
2007-10-12,111.3503646851,0.0055317313,0.0055164875
2007-10-15,110.4101486206,-0.0084437628,-0.0084796133
2007-10-16,109.5340270996,-0.0079351539,-0.0079668048
2007-10-17,109.8687973022,0.0030563124,0.0030516513
2007-10-18,109.4699478149,-0.0036302344,-0.0036368397
2007-10-19,106.6065292358,-0.0261571202,-0.0265053027
2007-10-22,107.2262573242,0.0058132283,0.0057963966
2007-10-23,108.0952301025,0.0081041043,0.0080714424
2007-10-24,107.8958129883,-0.0018448281,-0.0018465319
2007-10-25,108.1522674561,0.0023768714,0.0023740511
2007-10-26,109.4200820923,0.0117224971,0.0116543209
2007-10-29,109.7833251953,0.0033197115,0.0033142134
2007-10-30,109.0211715698,-0.0069423442,-0.0069665543
2007-10-31,110.1537170410,0.0103883077,0.0103347200
2007-11-01,107.5752792358,-0.0234076332,-0.0236859435
2007-11-02,107.6964035034,0.0011259489,0.0011253155
2007-11-05,106.8772354126,-0.0076062716,-0.0076353468
2007-11-06,108.3160171509,0.0134620037,0.0133721960
2007-11-07,105.3529586792,-0.0273556815,-0.0277368151
2007-11-08,104.8187561035,-0.0050705987,-0.0050834978
2007-11-09,103.3799667358,-0.0137264496,-0.0138215283
2007-11-12,102.3542785645,-0.0099215371,-0.0099710835
2007-11-13,105.4740295410,0.0304799274,0.0300246426
2007-11-14,105.1820449829,-0.0027683076,-0.0027721465
2007-11-15,103.6648559570,-0.0144244108,-0.0145294540
2007-11-16,103.8429336548,0.0017178213,0.0017163475
2007-11-19,102.3970413208,-0.0139238394,-0.0140216854
2007-11-20,103.0238342285,0.0061212014,0.0061025429
2007-11-21,100.9154968262,-0.0204645597,-0.0206768602
2007-11-23,102.6605758667,0.0172924783,0.0171446650
2007-11-26,100.3955307007,-0.0220634372,-0.0223104752
2007-11-27,101.5494384766,0.0114936170,0.0114280672
2007-11-28,104.7974090576,0.0319841314,0.0314832904
2007-11-29,104.8330230713,0.0003398368,0.0003397790
2007-11-30,105.8872146606,0.0100559114,0.0100056871
2007-12-03,105.1891479492,-0.0065925496,-0.0066143764
2007-12-04,104.2489624023,-0.0089380470,-0.0089782310
2007-12-05,105.9940109253,0.0167392412,0.0166006842
2007-12-06,107.5111923218,0.0143138408,0.0142123650
2007-12-07,107.4898376465,-0.0001986275,-0.0001986472
2007-12-10,108.3231964111,0.0077529075,0.0077230081
2007-12-11,105.3529586792,-0.0274201448,-0.0278030936
2007-12-12,106.3929061890,0.0098710803,0.0098226794
2007-12-13,106.1721038818,-0.0020753480,-0.0020775045
2007-12-14,104.8259201050,-0.0126792606,-0.0127603284
2007-12-17,103.3301162720,-0.0142694081,-0.0143721951
2007-12-18,103.9070358276,0.0055832663,0.0055677376
2007-12-19,103.9070358276,0.0000000000,0.0000000000
2007-12-20,104.5623550415,0.0063067838,0.0062869793
2007-12-21,106.0696411133,0.0144151886,0.0143122776
2007-12-24,106.8573150635,0.0074260075,0.0073985705
2007-12-26,107.0864334106,0.0021441522,0.0021418568
2007-12-27,105.7403030396,-0.0125705034,-0.0126501806
2007-12-28,105.4753265381,-0.0025059177,-0.0025090628
2007-12-31,104.6948318481,-0.0073997845,-0.0074272988
2008-01-02,103.7782592773,-0.0087547069,-0.0087932545
2008-01-03,103.7281341553,-0.0004830021,-0.0004831188
2008-01-04,101.1861343384,-0.0245063679,-0.0248116468
2008-01-07,101.1002349854,-0.0008489241,-0.0008492847
2008-01-08,99.4676284790,-0.0161483948,-0.0162802010
2008-01-09,100.5130310059,0.0105099774,0.0104551315
2008-01-10,101.1718444824,0.0065545081,0.0065331207
2008-01-11,100.3554992676,-0.0080688972,-0.0081016270
2008-01-14,101.1646423340,0.0080627676,0.0080304371
2008-01-15,98.9377059937,-0.0220129908,-0.0222588921
2008-01-16,98.0855941772,-0.0086126094,-0.0086499123
2008-01-17,95.5436019897,-0.0259160604,-0.0262577988
2008-01-18,94.5625839233,-0.0102677526,-0.0103208296
2008-01-22,93.6030883789,-0.0101466722,-0.0101985006
2008-01-23,95.8515167236,0.0240208778,0.0237369149
2008-01-24,96.6606521606,0.0084415507,0.0084061201
2008-01-25,95.2643661499,-0.0144452368,-0.0145505850
2008-01-28,96.8396377563,0.0165357906,0.0164005631
2008-01-29,97.3194351196,0.0049545555,0.0049423221
2008-01-30,96.6033477783,-0.0073581124,-0.0073853168
2008-01-31,98.3648834229,0.0182347267,0.0180704679
2008-02-01,99.9473342896,0.0160875590,0.0159595256
2008-02-04,98.6871185303,-0.0126087981,-0.0126889636
2008-02-05,96.0448455811,-0.0267742436,-0.0271392027
2008-02-06,95.2714996338,-0.0080519256,-0.0080845174
2008-02-07,95.9016418457,0.0066141733,0.0065923957
2008-02-08,95.2858276367,-0.0064213104,-0.0064420157
2008-02-11,95.7727127075,0.0051097323,0.0050967219
2008-02-12,96.6606521606,0.0092713199,0.0092286050
2008-02-13,97.6487731934,0.0102225778,0.0101706806
2008-02-14,96.7895507812,-0.0087991112,-0.0088380520
2008-02-15,96.7680511475,-0.0002221276,-0.0002221523
2008-02-19,97.0401763916,0.0028121393,0.0028081927
2008-02-20,97.3265533447,0.0029511174,0.0029467714
2008-02-21,96.5174179077,-0.0083136144,-0.0083483652
2008-02-22,97.1117782593,0.0061580631,0.0061391797
2008-02-25,98.3362121582,0.0126085004,0.0125296752
2008-02-26,99.0737915039,0.0075005873,0.0074725978
2008-02-27,98.9735412598,-0.0010118745,-0.0010123868
2008-02-28,98.0068511963,-0.0097671565,-0.0098151680
2008-02-29,95.8228912354,-0.0222837479,-0.0225357818
2008-03-03,95.5937423706,-0.0023913792,-0.0023942431
2008-03-04,95.2285537720,-0.0038202145,-0.0038275301
2008-03-05,95.8300323486,0.0063161578,0.0062962945
