date,price,return,log_return
2015-01-05,14.0059995651,-0.0420410282,-0.0429503288
2015-01-06,14.0853328705,0.0056642373,0.0056482558
2015-01-07,14.0633325577,-0.0015619306,-0.0015631517
2015-01-08,14.0413331985,-0.0015643063,-0.0015655311
2015-01-09,13.7773332596,-0.0188016291,-0.0189806269
2015-01-12,13.4806671143,-0.0215329150,-0.0217681309
2015-01-13,13.6166667938,0.0100884977,0.0100379485
2015-01-14,12.8459997177,-0.0565973368,-0.0582620851
2015-01-15,12.7913331985,-0.0042555286,-0.0042646091
2015-01-16,12.8713331223,0.0062542287,0.0062347522
2015-01-20,12.7953329086,-0.0059046109,-0.0059221120
2015-01-21,13.1046667099,0.0241755180,0.0238879162
2015-01-22,13.4413328171,0.0256905509,0.0253660939
2015-01-23,13.4193334579,-0.0016366948,-0.0016380356
2015-01-26,13.7700004578,0.0261314767,0.0257958835
2015-01-27,13.7320003510,-0.0027596300,-0.0027634448
2015-01-28,13.2913331985,-0.0320905288,-0.0326167175
2015-01-29,13.6800003052,0.0292421461,0.0288227509
2015-01-30,13.5733327866,-0.0077973331,-0.0078278912
2015-02-02,14.0626668930,0.0360511390,0.0354165046
2015-02-03,14.5573329926,0.0351758385,0.0345713046
2015-02-04,14.5699996948,0.0008701252,0.0008697469
2015-02-05,14.7326669693,0.0111645352,0.0111026718
2015-02-06,14.4906673431,-0.0164260569,-0.0165624604
2015-02-09,14.4986667633,0.0005520395,0.0005518871
2015-02-10,14.4193334579,-0.0054717656,-0.0054867905
2015-02-11,14.1866674423,-0.0161356984,-0.0162672963
2015-02-12,13.5253334045,-0.0466165885,-0.0477381356
2015-02-13,13.5846672058,0.0043868642,0.0043772700
2015-02-17,13.6233329773,0.0028462804,0.0028422374
2015-02-18,13.6306667328,0.0005383231,0.0005381783
2015-02-19,14.1140003204,0.0354592770,0.0348450742
2015-02-20,14.4739999771,0.0255065643,0.0251866996
2015-02-23,13.8226671219,-0.0450001973,-0.0460441451
2015-02-24,13.6073331833,-0.0155783205,-0.0157009376
2015-02-25,13.5839996338,-0.0017147776,-0.0017162495
2015-02-26,13.8126668930,0.0168335737,0.0166934593
2015-02-27,13.5559997559,-0.0185820117,-0.0187568262
2015-03-02,13.1553325653,-0.0295564472,-0.0300020410
2015-03-03,13.3039999008,0.0113009181,0.0112375397
2015-03-04,13.4960002899,0.0144317792,0.0143286323
2015-03-05,13.3753328323,-0.0089409792,-0.0089811896
2015-03-06,12.9253330231,-0.0336440083,-0.0342229913
