date,price,return,log_return
2007-01-04,11.5100002289,-0.0440199115,-0.0450181941
2007-01-05,12.1400003433,0.0547350219,0.0532895713
2007-01-08,12.0000000000,-0.0115321532,-0.0115991641
2007-01-09,11.9099998474,-0.0075000127,-0.0075282792
2007-01-10,11.4700002670,-0.0369437100,-0.0376434161
2007-01-11,10.8699998856,-0.0523104069,-0.0537282638
2007-01-12,10.1499996185,-0.0662373758,-0.0685330227
2007-01-16,10.7399997711,0.0581280960,0.0565013999
2007-01-17,10.5900001526,-0.0139664452,-0.0140648937
2007-01-18,10.8500003815,0.0245514849,0.0242549411
2007-01-19,10.3999996185,-0.0414747232,-0.0423593457
2007-01-22,10.7700004578,0.0355770051,0.0349587642
2007-01-23,10.3400001526,-0.0399257462,-0.0407446498
2007-01-24,9.8900003433,-0.0435202904,-0.0444957035
2007-01-25,11.2200002670,0.1344792596,0.1261737435
2007-01-26,11.1300001144,-0.0080214038,-0.0080537483
2007-01-29,11.4499998093,0.0287510954,0.0283455378
2007-01-30,10.9600000381,-0.0427947405,-0.0437374283
2007-01-31,10.4200000763,-0.0492700693,-0.0505252414
2007-02-01,10.3100004196,-0.0105565889,-0.0106127049
2007-02-02,10.0799999237,-0.0223084856,-0.0225610837
2007-02-05,10.5500001907,0.0466270110,0.0455726229
2007-02-06,10.6499996185,0.0094786186,0.0094339783
2007-02-07,10.3199996948,-0.0309859094,-0.0314761259
2007-02-08,10.4399995804,0.0116278962,0.0115608118
2007-02-09,11.1000003815,0.0632184701,0.0613006004
2007-02-12,11.6099996567,0.0459458791,0.0449216235
2007-02-13,10.3400001526,-0.1093884187,-0.1158468823
2007-02-14,10.2299995422,-0.0106383567,-0.0106953486
2007-02-15,10.2200002670,-0.0009774463,-0.0009779243
2007-02-16,10.0200004578,-0.0195694525,-0.0197634696
2007-02-20,10.2399997711,0.0219560183,0.0217184559
2007-02-21,10.1999998093,-0.0039062464,-0.0039138957
2007-02-22,10.1800003052,-0.0019607357,-0.0019626605
2007-02-23,10.5799999237,0.0392926922,0.0385403781
2007-02-26,11.1499996185,0.0538752078,0.0524740445
2007-02-27,18.3099994659,0.6421524747,0.4960078658
2007-02-28,15.4200000763,-0.1578372187,-0.1717819564
2007-03-01,15.8199996948,0.0259403124,0.0256095700
2007-03-02,18.6100006104,0.1763591005,0.1624241604
2007-03-05,19.6299991608,0.0548091627,0.0533598621
2007-03-06,15.9600000381,-0.1869586999,-0.2069733711
2007-03-07,15.2399997711,-0.0451127986,-0.0461620592
2007-03-08,14.2899999619,-0.0623359464,-0.0643635460
2007-03-09,14.0900001526,-0.0139957879,-0.0140946525
2007-03-12,13.9899997711,-0.0070972591,-0.0071225644
2007-03-13,18.1299991608,0.2959256224,0.2592252062
2007-03-14,17.2700004578,-0.0474351209,-0.0485970598
2007-03-15,16.4300003052,-0.0486392664,-0.0498619680
2007-03-16,16.7900009155,0.0219111749,0.0216745750
2007-03-19,14.5900001526,-0.1310304135,-0.1404471526
2007-03-20,13.2700004578,-0.0904729048,-0.0948304902
2007-03-21,12.1899995804,-0.0813866496,-0.0848899738
2007-03-22,12.9300003052,0.0607055579,0.0589343073
2007-03-23,12.9499998093,0.0015467520,0.0015455570
2007-03-26,13.1599998474,0.0162162194,0.0160861409
2007-03-27,13.4799995422,0.0243160865,0.0240251572
2007-03-28,14.9799995422,0.1112759682,0.1055088760
2007-03-29,15.1400003433,0.0106809617,0.0106243232
2007-03-30,14.6400003433,-0.0330250983,-0.0335827387
2007-04-02,14.5299997330,-0.0075137027,-0.0075420728
2007-04-03,13.4600000381,-0.0736407236,-0.0764931322
2007-04-04,13.2399997711,-0.0163447449,-0.0164797938
2007-04-05,13.2299995422,-0.0007553043,-0.0007555897
2007-04-09,13.1400003433,-0.0068026608,-0.0068259043
2007-04-10,12.6800003052,-0.0350076123,-0.0356350661
2007-04-11,13.4899997711,0.0638800825,0.0619226802
2007-04-12,12.7100000381,-0.0578205890,-0.0595595651
2007-04-13,12.1999998093,-0.0401259030,-0.0409531521
2007-04-16,11.9799995422,-0.0180328091,-0.0181973816
2007-04-17,12.1400003433,0.0133556600,0.0132672594
2007-04-18,12.4200000763,0.0230642278,0.0228022687
2007-04-19,12.5399999619,0.0096618265,0.0096154495
2007-04-20,12.0699996948,-0.0374800852,-0.0382005223
2007-04-23,13.0399999619,0.0803645643,0.0772985437
2007-04-24,13.1199998856,0.0061349635,0.0061162212
2007-04-25,13.2100000381,0.0068597678,0.0068363466
2007-04-26,12.7899999619,-0.0317941011,-0.0323105088
2007-04-27,12.4499998093,-0.0265832802,-0.0269430050
2007-04-30,14.2200002670,0.1421687136,0.1329288356
