t,y_t,h_mean,vol,ess,loglik,scenario,sigma
0,0.02094764,-4.677321,0.13346076,440.11,1.4309,Double Spike,40.0
1,-0.00803598,-4.753260,0.16290268,305.36,1.6387,Double Spike,40.0
2,-0.00615268,-4.765219,0.24654207,247.26,1.7582,Double Spike,40.0
3,-0.00876646,-4.829204,0.29845953,292.75,1.7583,Double Spike,40.0
4,-0.00677291,-4.922598,0.33486241,257.72,1.8960,Double Spike,40.0
5,0.00418693,-4.974173,0.37083653,224.37,2.0433,Double Spike,40.0
6,-0.00378139,-4.996734,0.37486792,212.86,2.1588,Double Spike,40.0
7,0.01019728,-5.135383,0.37531561,318.80,2.0195,Double Spike,40.0
8,0.00589494,-5.279979,0.35125232,280.49,2.2131,Double Spike,40.0
9,0.01020058,-5.398826,0.29977420,329.07,2.1455,Double Spike,40.0
10,0.02029335,-5.465701,0.24581456,379.37,1.9095,Double Spike,40.0
11,-0.01404619,-5.641594,0.19594914,363.93,2.1359,Double Spike,40.0
12,-0.00515132,-5.801922,0.15827142,323.27,2.4044,Double Spike,40.0
13,-0.00943836,-5.959464,0.12487449,353.29,2.2887,Double Spike,40.0
14,-0.02883937,-5.961193,0.13107184,411.97,1.7265,Double Spike,40.0
15,-0.01322131,-6.029301,0.18919471,388.11,2.1754,Double Spike,40.0
16,0.00959853,-6.057723,0.21877986,367.07,2.3078,Double Spike,40.0
17,-0.00922252,-6.060247,0.23992971,361.16,2.3553,Double Spike,40.0
18,-0.01747154,-6.048799,0.23223604,396.65,2.1220,Double Spike,40.0
19,-0.00315877,-6.175789,0.21714556,323.97,2.5797,Double Spike,40.0
20,0.00490387,-6.279740,0.28792185,334.49,2.5891,Double Spike,40.0
21,-0.01169816,-6.319392,0.27957585,372.22,2.3839,Double Spike,40.0
22,-0.00575371,-6.337699,0.25615013,340.25,2.6438,Double Spike,40.0
23,0.01182780,-6.334212,0.22874197,372.36,2.4208,Double Spike,40.0
24,0.00411499,-6.393732,0.21673085,320.30,2.7395,Double Spike,40.0
25,-0.01805045,-6.396220,0.18216363,390.57,2.1417,Double Spike,40.0
26,-0.00683949,-6.511836,0.18711767,357.37,2.6337,Double Spike,40.0
27,-0.00581733,-6.512452,0.17422068,347.64,2.7046,Double Spike,40.0
28,-0.01434964,-6.512491,0.21940947,383.67,2.3248,Double Spike,40.0
29,-0.00093045,-6.625530,0.21402422,214.36,2.9778,Double Spike,40.0
30,-0.00664147,-6.712914,0.17213449,355.87,2.7166,Double Spike,40.0
31,0.01678050,-6.717407,0.15939614,394.58,2.2274,Double Spike,40.0
32,0.00102564,-6.806455,0.17585646,198.06,2.9948,Double Spike,40.0
33,-0.00494735,-6.860651,0.15668532,357.38,2.7891,Double Spike,40.0
34,-0.01331583,-6.807302,0.11947177,394.58,2.4309,Double Spike,40.0
35,-0.01028955,-6.786305,0.12107764,389.48,2.5444,Double Spike,40.0
36,-0.00319301,-6.881829,0.10781172,332.29,2.8667,Double Spike,40.0
37,-0.00518068,-6.919629,0.13345109,365.97,2.8302,Double Spike,40.0
38,0.00748845,-6.921664,0.13413882,377.39,2.7132,Double Spike,40.0
39,-0.00569675,-6.929684,0.13562712,361.96,2.8146,Double Spike,40.0
40,0.00877741,-6.927699,0.12353777,382.04,2.6961,Double Spike,40.0
41,0.01108675,-6.970375,0.15888856,395.89,2.5921,Double Spike,40.0
42,0.00097001,-7.034715,0.18205388,236.46,3.1000,Double Spike,40.0
43,0.00280120,-7.069379,0.15644735,332.49,3.0135,Double Spike,40.0
44,-0.00668349,-7.087623,0.15416425,371.37,2.8512,Double Spike,40.0
45,0.01332534,-7.044201,0.16862439,399.68,2.4630,Double Spike,40.0
46,0.00681572,-7.014932,0.15410650,374.53,2.8311,Double Spike,40.0
47,0.01714350,-6.953313,0.16984031,411.81,2.2662,Double Spike,40.0
48,0.01109328,-6.979641,0.16041252,398.90,2.6023,Double Spike,40.0
49,0.00503984,-7.002989,0.16236633,361.33,2.9056,Double Spike,40.0
50,-0.39999998,-4.193473,0.57627064,136.43,-2.3167,Double Spike,40.0
51,-0.10551265,-4.266870,0.44081655,381.07,0.3452,Double Spike,40.0
52,0.09310478,-4.486463,0.37123045,369.14,0.4086,Double Spike,40.0
53,0.08697038,-4.659384,0.34564227,364.20,0.4683,Double Spike,40.0
54,-0.02512944,-4.887874,0.29391575,371.98,1.5327,Double Spike,40.0
55,0.02612158,-5.128285,0.23401615,376.14,1.5491,Double Spike,40.0
56,-0.01524661,-5.379113,0.19795313,367.21,1.8870,Double Spike,40.0
57,-0.15261243,-4.847813,0.22804122,309.86,-0.4501,Double Spike,40.0
58,-0.11546287,-4.801739,0.24445477,371.99,0.1581,Double Spike,40.0
59,0.13322152,-4.761465,0.22381139,347.99,-0.0762,Double Spike,40.0
60,0.07841405,-4.841959,0.25520164,397.14,0.7156,Double Spike,40.0
61,0.07665587,-4.894968,0.25981152,411.66,0.7866,Double Spike,40.0
62,0.00445702,-5.030196,0.29185748,228.11,2.0412,Double Spike,40.0
63,-0.06391769,-4.959320,0.28138354,408.30,0.9570,Double Spike,40.0
64,-0.16698645,-4.537040,0.34284973,325.16,-0.4891,Double Spike,40.0
65,-0.07482515,-4.649180,0.29675722,401.82,0.7746,Double Spike,40.0
66,-0.03775602,-4.795341,0.32338980,407.64,1.3586,Double Spike,40.0
67,-0.06233415,-4.739036,0.35603976,406.15,0.9619,Double Spike,40.0
68,-0.15583014,-4.388952,0.38106447,326.26,-0.3254,Double Spike,40.0
69,0.01005364,-4.645559,0.32777154,294.73,1.7685,Double Spike,40.0
70,-0.08669420,-4.540900,0.32053778,396.17,0.6022,Double Spike,40.0
71,-0.11446194,-4.479086,0.26881754,383.83,0.2446,Double Spike,40.0
72,-0.15125963,-4.346840,0.27249849,366.72,-0.1267,Double Spike,40.0
73,0.10038098,-4.440148,0.24261317,414.42,0.5079,Double Spike,40.0
74,-0.05729270,-4.572584,0.28705424,422.81,1.0470,Double Spike,40.0
75,-0.00607827,-4.745206,0.33007428,238.14,1.8490,Double Spike,40.0
76,-0.02357602,-4.849093,0.30726093,385.82,1.5391,Double Spike,40.0
77,-0.17218977,-4.329725,0.32951206,336.86,-0.4768,Double Spike,40.0
78,-0.00930761,-4.503665,0.30931115,295.23,1.6754,Double Spike,40.0
79,-0.06580788,-4.534827,0.29841232,410.56,0.9169,Double Spike,40.0
80,-0.00891367,-4.718933,0.26696610,307.50,1.7890,Double Spike,40.0
81,-0.09625535,-4.608454,0.26370275,392.52,0.4240,Double Spike,40.0
82,-0.01147962,-4.797924,0.21324742,323.41,1.7837,Double Spike,40.0
83,0.05732280,-4.856853,0.20078894,410.47,1.0479,Double Spike,40.0
84,-0.07448697,-4.846078,0.28540990,407.56,0.7832,Double Spike,40.0
85,-0.02319020,-4.921999,0.28624597,388.87,1.6062,Double Spike,40.0
86,0.02848909,-5.043271,0.27003431,396.20,1.5537,Double Spike,40.0
87,-0.03777014,-5.074528,0.28554469,400.83,1.4025,Double Spike,40.0
88,-0.04607004,-5.057605,0.26370746,389.48,1.2070,Double Spike,40.0
