t,y_t,true_h,h_mean,true_vol,vol,ess,loglik,scenario,sigma
0,-0.12021054,-4.638327,-4.513680,0.09835584,0.11138275,988.40,0.5758,Flash Crash,25.0
1,0.04947261,-4.812545,-4.595177,0.09015071,0.11055735,971.24,1.2293,Flash Crash,25.0
2,-0.05403178,-4.884204,-4.634108,0.08697782,0.11003228,968.35,1.2035,Flash Crash,25.0
3,-0.06782768,-4.959530,-4.677404,0.08376291,0.11142711,971.38,1.0904,Flash Crash,25.0
4,0.03742262,-4.689115,-4.727049,0.09588964,0.11078139,940.06,1.3692,Flash Crash,25.0
5,0.16939293,-4.475493,-4.559504,0.10669868,0.12631696,865.08,-0.1623,Flash Crash,25.0
6,0.03367110,-4.400879,-4.591253,0.11075445,0.12294314,934.45,1.3498,Flash Crash,25.0
7,-0.12208098,-4.350766,-4.571492,0.11356467,0.12989615,958.76,0.4780,Flash Crash,25.0
8,-0.03759812,-4.138417,-4.629462,0.12628572,0.12849034,937.14,1.3429,Flash Crash,25.0
9,-0.02824739,-4.178797,-4.726820,0.12376154,0.12564093,923.19,1.4384,Flash Crash,25.0
10,-0.08079439,-4.221574,-4.779130,0.12114260,0.12545866,970.20,0.9608,Flash Crash,25.0
11,0.20428216,-4.125934,-4.526120,0.12707640,0.13468701,753.08,-0.6591,Flash Crash,25.0
12,0.10378105,-4.135395,-4.493325,0.12647666,0.13995352,965.79,0.6981,Flash Crash,25.0
13,0.00368931,-4.204521,-4.602606,0.12217995,0.13495779,724.87,1.5000,Flash Crash,25.0
14,0.14100514,-3.944514,-4.534037,0.13914247,0.14249009,917.85,0.2186,Flash Crash,25.0
15,0.01053019,-3.914675,-4.609156,0.14123397,0.13518570,824.69,1.4884,Flash Crash,25.0
16,0.00667737,-4.116125,-4.765040,0.12770115,0.13008279,804.49,1.5738,Flash Crash,25.0
17,-0.21421298,-4.213265,-4.525012,0.12164693,0.15108413,713.05,-0.7859,Flash Crash,25.0
18,-0.05706864,-4.118616,-4.547979,0.12754220,0.15740846,956.35,1.1631,Flash Crash,25.0
19,0.00380610,-4.132409,-4.674942,0.12666562,0.14815134,715.49,1.5630,Flash Crash,25.0
20,-0.11730660,-4.501205,-4.660985,0.10533572,0.14436132,941.17,0.5024,Flash Crash,25.0
21,0.06611792,-4.668133,-4.705614,0.09690091,0.13978131,969.78,1.1189,Flash Crash,25.0
22,0.00688818,-4.803010,-4.817807,0.09058155,0.12727101,804.87,1.5977,Flash Crash,25.0
23,0.01372104,-4.680471,-4.948414,0.09630496,0.11862412,864.49,1.6293,Flash Crash,25.0
24,0.04523147,-4.465883,-5.044571,0.10721261,0.11143956,965.99,1.4101,Flash Crash,25.0
25,0.00948362,-4.470079,-5.155910,0.10698788,0.10446647,847.38,1.7398,Flash Crash,25.0
26,-0.05014733,-4.656027,-5.238847,0.09748920,0.09600680,973.91,1.3957,Flash Crash,25.0
27,-0.14979750,-4.649947,-5.058866,0.09778602,0.10509059,789.81,-0.2340,Flash Crash,25.0
28,0.14373675,-4.729072,-4.916313,0.09399290,0.11700305,843.66,-0.0056,Flash Crash,25.0
29,-0.13888609,-4.418267,-4.790738,0.10979573,0.11935586,887.48,0.1566,Flash Crash,25.0
30,0.00429370,-4.417517,-4.866624,0.10983694,0.10521360,812.45,1.6030,Flash Crash,25.0
31,-0.07180359,-4.307740,-4.931504,0.11603425,0.09906614,977.83,1.0789,Flash Crash,25.0
32,-0.09112087,-4.127110,-4.967701,0.12700164,0.09558800,968.70,0.8273,Flash Crash,25.0
33,-0.35518685,-4.076889,-4.083010,0.13023113,0.18498798,562.30,-1.6492,Flash Crash,25.0
34,0.06566466,-3.884080,-3.999487,0.14341110,0.17397705,946.07,0.9146,Flash Crash,25.0
35,0.10934119,-3.886551,-4.036624,0.14323401,0.16370808,965.65,0.6347,Flash Crash,25.0
36,-0.08560857,-3.844914,-4.090998,0.14624721,0.16506742,959.94,0.8232,Flash Crash,25.0
37,0.21474439,-3.654192,-3.994545,0.16088010,0.17888096,869.07,-0.3404,Flash Crash,25.0
38,0.41258401,-3.495390,-3.543682,0.17417498,0.24427997,582.12,-1.7652,Flash Crash,25.0
39,-0.25397623,-3.312839,-3.428582,0.19082104,0.24962904,885.49,-0.3935,Flash Crash,25.0
40,-0.31874722,-3.406471,-3.315974,0.18209341,0.24931329,835.14,-0.8053,Flash Crash,25.0
41,0.15381908,-3.352178,-3.391420,0.18710434,0.22862774,967.90,0.2977,Flash Crash,25.0
42,0.11413393,-3.540380,-3.501961,0.17030065,0.21218058,970.82,0.5508,Flash Crash,25.0
43,-0.37445560,-3.431306,-3.306361,0.17984621,0.23380142,758.18,-1.2079,Flash Crash,25.0
44,0.11464907,-3.281030,-3.389639,0.19388016,0.22193766,970.67,0.5213,Flash Crash,25.0
45,-0.16155398,-3.121940,-3.440523,0.20993237,0.21511386,974.96,0.2734,Flash Crash,25.0
46,0.12964906,-2.959882,-3.552475,0.22765116,0.20717227,979.32,0.4770,Flash Crash,25.0
47,0.09187803,-3.097766,-3.685638,0.21248515,0.18926990,968.19,0.7090,Flash Crash,25.0
48,0.27992159,-3.248819,-3.580161,0.19702798,0.19828412,857.63,-0.6552,Flash Crash,25.0
49,0.14751965,-3.395236,-3.579454,0.18311922,0.19826129,971.33,0.3541,Flash Crash,25.0
50,-0.28006589,-3.250000,-3.501028,0.19691168,0.20177720,867.27,-0.6070,Flash Crash,25.0
51,-0.08769923,-3.137500,-3.604417,0.20830540,0.19566812,960.26,0.6968,Flash Crash,25.0
52,0.00029591,-3.062500,-3.754894,0.21626517,0.18273702,692.91,1.0917,Flash Crash,25.0
53,-0.15513723,-3.196434,-3.791989,0.20225677,0.18198565,968.36,0.3013,Flash Crash,25.0
54,-0.22998677,-3.346394,-3.760920,0.18764617,0.17900491,901.73,-0.3262,Flash Crash,25.0
55,0.18299158,-3.565440,-3.750941,0.16818008,0.18134215,951.92,0.0868,Flash Crash,25.0
56,-0.09586248,-4.730209,-3.813515,0.09393947,0.17360336,972.95,0.7118,Flash Crash,25.0
57,0.10833628,-4.853116,-3.857866,0.08834038,0.17450121,971.73,0.6380,Flash Crash,25.0
58,-0.03025086,-5.386282,-3.955248,0.06766806,0.17230353,888.87,1.1027,Flash Crash,25.0
59,0.05532155,-4.885010,-4.030794,0.08694280,0.16434421,946.08,1.0217,Flash Crash,25.0
60,0.28491160,-4.191318,-3.822685,0.12298916,0.18656933,756.05,-0.9273,Flash Crash,25.0
61,0.00527691,-4.370604,-3.908671,0.11244377,0.17458500,735.79,1.1621,Flash Crash,25.0
62,-0.10911941,-4.327428,-3.971297,0.11489758,0.16827863,971.80,0.6466,Flash Crash,25.0
63,0.13751824,-4.216097,-3.973747,0.12147480,0.17137758,966.12,0.4212,Flash Crash,25.0
64,0.06075747,-4.608055,-4.083163,0.09985588,0.16248548,954.93,1.0059,Flash Crash,25.0
65,-0.10567044,-5.133277,-4.147390,0.07679325,0.16248894,972.45,0.6920,Flash Crash,25.0
66,-0.23868336,-4.411350,-3.994009,0.11017612,0.17523016,823.78,-0.5973,Flash Crash,25.0
67,-0.13937265,-4.730244,-3.972720,0.09393783,0.16861346,963.94,0.4036,Flash Crash,25.0
68,0.20592068,-4.283775,-3.919933,0.11743296,0.18047409,902.66,-0.1957,Flash Crash,25.0
69,-0.15680876,-4.330242,-3.931606,0.11473604,0.17716423,953.64,0.2573,Flash Crash,25.0
70,0.13381024,-4.781415,-3.951316,0.09156488,0.17887248,967.21,0.4477,Flash Crash,25.0
71,0.08549459,-4.294023,-4.023739,0.11683282,0.17429987,965.24,0.8322,Flash Crash,25.0
72,-0.01492110,-4.233446,-4.126933,0.12042564,0.16581582,853.32,1.2400,Flash Crash,25.0
73,-0.01605541,-4.253216,-4.277338,0.11924109,0.15476091,861.51,1.3071,Flash Crash,25.0
74,0.06743680,-4.205162,-4.388121,0.12214077,0.15561448,957.76,1.0352,Flash Crash,25.0
75,-0.17494994,-3.958236,-4.307903,0.13819106,0.16165236,881.57,-0.0970,Flash Crash,25.0
76,-0.09103681,-3.909400,-4.354091,0.14160699,0.17071369,967.11,0.8246,Flash Crash,25.0
77,0.07471446,-3.907451,-4.419763,0.14174502,0.16451272,975.50,0.9982,Flash Crash,25.0
78,0.20317508,-3.848196,-4.277201,0.14600743,0.15988949,830.88,-0.4238,Flash Crash,25.0
79,-0.09746733,-3.956756,-4.331589,0.13829336,0.14848304,973.81,0.7702,Flash Crash,25.0
80,-0.07933084,-3.689250,-4.420728,0.15808462,0.13290039,975.39,0.9517,Flash Crash,25.0
81,-0.11024369,-3.752203,-4.417704,0.15318616,0.13187222,977.46,0.6507,Flash Crash,25.0
82,-0.18959719,-3.676361,-4.303419,0.15910666,0.14062950,865.84,-0.2417,Flash Crash,25.0
83,0.11087859,-3.880063,-4.299406,0.14369941,0.14514299,969.10,0.6379,Flash Crash,25.0
84,-0.11725883,-3.769142,-4.279139,0.15189421,0.14574830,976.66,0.5875,Flash Crash,25.0
85,-0.22014615,-3.791403,-4.131233,0.15021296,0.15875186,842.02,-0.4843,Flash Crash,25.0
86,0.12299437,-3.575914,-4.137203,0.16730164,0.15784355,960.90,0.5212,Flash Crash,25.0
87,0.10361081,-3.616871,-4.171880,0.16391039,0.15745622,968.23,0.6994,Flash Crash,25.0
88,0.16673554,-3.649532,-4.127230,0.16125539,0.15901679,934.45,0.1040,Flash Crash,25.0
89,-0.09268017,-3.976637,-4.193375,0.13692547,0.15135206,972.42,0.8040,Flash Crash,25.0
90,-0.20514961,-4.099652,-4.129906,0.12875731,0.16018236,850.10,-0.3294,Flash Crash,25.0
91,0.10064062,-4.266516,-4.172106,0.11845074,0.16440535,966.07,0.7224,Flash Crash,25.0
92,-0.00288989,-4.010986,-4.274662,0.13459393,0.15769070,614.46,1.3534,Flash Crash,25.0
93,-0.05692865,-4.181914,-4.359280,0.12356883,0.14859614,957.08,1.1172,Flash Crash,25.0
94,0.04714834,-4.123145,-4.455768,0.12725373,0.14238811,948.09,1.2153,Flash Crash,25.0
