t,y_t,h_mean,vol,ess,loglik,scenario,sigma
0,-0.01031919,-4.685130,0.13307746,392.90,1.5036,Single Spike,15.0
1,0.00208710,-4.769826,0.16158690,142.49,1.8240,Single Spike,15.0
2,0.01283338,-4.778868,0.24439058,347.47,1.6297,Single Spike,15.0
3,0.00476699,-4.853055,0.29565379,220.19,1.8812,Single Spike,15.0
4,-0.00216819,-4.959503,0.33034694,165.47,2.0844,Single Spike,15.0
5,-0.01835674,-4.981266,0.36629742,367.33,1.6908,Single Spike,15.0
6,0.00009058,-5.026309,0.36871395,64.03,2.3571,Single Spike,15.0
7,0.00314118,-5.210270,0.36488211,217.10,2.2797,Single Spike,15.0
8,-0.00432717,-5.364288,0.33945644,259.21,2.2933,Single Spike,15.0
9,-0.00874599,-5.505007,0.28560057,322.84,2.2229,Single Spike,15.0
10,0.00279066,-5.654699,0.23155075,280.08,2.4550,Single Spike,15.0
11,0.00778308,-5.879082,0.15633450,334.78,2.3830,Single Spike,15.0
12,0.01308007,-6.001404,0.16936541,371.67,2.2326,Single Spike,15.0
13,0.00354929,-6.133923,0.18117718,297.81,2.5395,Single Spike,15.0
14,0.01602240,-6.185138,0.21393104,392.96,2.1695,Single Spike,15.0
15,-0.01154571,-6.239859,0.21035314,371.48,2.3404,Single Spike,15.0
16,0.00426520,-6.288063,0.21475863,333.82,2.6127,Single Spike,15.0
17,-0.00500763,-6.392807,0.20663045,333.25,2.6300,Single Spike,15.0
18,-0.01092108,-6.437878,0.15123472,388.11,2.4612,Single Spike,15.0
19,0.00008397,-6.581171,0.13777071,103.41,2.9595,Single Spike,15.0
20,0.02144458,-6.510226,0.16562553,412.41,2.0475,Single Spike,15.0
21,0.01296607,-6.509728,0.17195538,399.78,2.3910,Single Spike,15.0
22,-0.00221437,-6.560828,0.21082652,309.75,2.7395,Single Spike,15.0
23,-0.00046363,-6.619576,0.20801526,93.49,3.0777,Single Spike,15.0
24,0.01084944,-6.629999,0.19987804,382.72,2.4979,Single Spike,15.0
25,0.01712932,-6.591600,0.19834544,410.62,2.2493,Single Spike,15.0
26,-0.01499178,-6.599189,0.21111502,402.77,2.3369,Single Spike,15.0
27,-0.00834946,-6.639214,0.21378855,374.79,2.6147,Single Spike,15.0
28,0.00609991,-6.714797,0.22502512,363.71,2.7466,Single Spike,15.0
29,-0.00999754,-6.839290,0.14926043,388.70,2.5922,Single Spike,15.0
30,-0.00983711,-6.856536,0.15319066,387.92,2.5924,Single Spike,15.0
31,0.00989262,-6.875952,0.14333928,395.04,2.6313,Single Spike,15.0
32,0.01952325,-6.804536,0.19915216,403.89,2.1183,Single Spike,15.0
33,-0.00699053,-6.789701,0.23105860,371.05,2.7462,Single Spike,15.0
34,-0.00358580,-6.811652,0.21163279,339.27,2.8908,Single Spike,15.0
35,-0.02780683,-6.567664,0.23680738,398.50,1.6746,Single Spike,15.0
36,-0.00587037,-6.653718,0.19600692,357.69,2.7176,Single Spike,15.0
37,0.01353392,-6.688204,0.19042996,398.40,2.4218,Single Spike,15.0
38,-0.00579984,-6.718328,0.23576076,354.35,2.7580,Single Spike,15.0
39,-0.00216770,-6.740438,0.22843826,277.17,2.9789,Single Spike,15.0
40,-0.01596695,-6.686281,0.23247603,395.44,2.2714,Single Spike,15.0
41,-0.00500450,-6.729183,0.24486759,340.80,2.8387,Single Spike,15.0
42,0.01866415,-6.682360,0.21485503,396.22,2.1220,Single Spike,15.0
43,0.01660046,-6.624398,0.24975692,393.87,2.2387,Single Spike,15.0
44,0.01088441,-6.648221,0.19201256,390.95,2.5475,Single Spike,15.0
45,0.00949718,-6.708889,0.15179038,384.19,2.6029,Single Spike,15.0
