t,y_t,h_mean,vol,ess,loglik,scenario,sigma
0,0.01781155,-4.679648,0.13335171,430.86,1.4508,Sustained Chaos,12.0
1,-0.00749729,-4.756427,0.16267855,290.96,1.6536,Sustained Chaos,12.0
2,0.00334985,-4.772718,0.24579012,203.98,1.8129,Sustained Chaos,12.0
3,-0.01017051,-4.837176,0.29749107,312.30,1.7277,Sustained Chaos,12.0
4,-0.00068577,-4.946688,0.33184290,53.85,2.3576,Sustained Chaos,12.0
5,0.00394976,-5.006534,0.36548313,219.23,2.0683,Sustained Chaos,12.0
6,-0.00499112,-5.035180,0.36761412,240.12,2.1284,Sustained Chaos,12.0
7,-0.00204550,-5.207169,0.36583650,192.37,2.3208,Sustained Chaos,12.0
8,0.00084641,-5.364259,0.33882904,104.34,2.5278,Sustained Chaos,12.0
9,-0.01716141,-5.454614,0.28865504,365.35,1.9623,Sustained Chaos,12.0
10,0.00604001,-5.613585,0.23241600,310.84,2.3677,Sustained Chaos,12.0
11,-0.01149986,-5.822246,0.15762216,355.10,2.2549,Sustained Chaos,12.0
12,0.00338557,-5.979519,0.17024431,321.57,2.4313,Sustained Chaos,12.0
13,0.00508432,-6.144426,0.14792013,323.78,2.4678,Sustained Chaos,12.0
14,-0.00043736,-6.226563,0.17683518,79.84,2.8395,Sustained Chaos,12.0
15,-0.00396016,-6.283767,0.23212628,305.78,2.6238,Sustained Chaos,12.0
16,0.01691783,-6.305365,0.26942742,393.21,2.1794,Sustained Chaos,12.0
17,-0.00460095,-6.339000,0.22589439,324.09,2.6530,Sustained Chaos,12.0
18,-0.00574507,-6.497401,0.15531510,340.19,2.6540,Sustained Chaos,12.0
19,0.00055037,-6.638555,0.13996634,174.67,2.9101,Sustained Chaos,12.0
20,-0.01704991,-6.719029,0.10651700,423.62,2.2689,Sustained Chaos,12.0
21,0.01488819,-6.787031,0.10802898,432.92,2.3927,Sustained Chaos,12.0
22,0.01004181,-6.806848,0.15968324,405.38,2.5368,Sustained Chaos,12.0
23,-0.00457171,-6.781721,0.18428764,354.36,2.7568,Sustained Chaos,12.0
24,-0.00124126,-6.801597,0.18362123,265.14,2.9069,Sustained Chaos,12.0
25,0.00508923,-6.894367,0.14160401,369.25,2.8072,Sustained Chaos,12.0
26,0.00473622,-6.939820,0.15643299,365.55,2.8322,Sustained Chaos,12.0
27,0.01698857,-6.863450,0.15717599,411.25,2.2749,Sustained Chaos,12.0
28,-0.01374849,-6.834328,0.21695496,402.00,2.4397,Sustained Chaos,12.0
29,0.02026638,-6.781505,0.21123800,406.72,2.1075,Sustained Chaos,12.0
30,0.01141010,-6.751824,0.18508644,396.19,2.5450,Sustained Chaos,12.0
31,-0.00085123,-6.818822,0.18032551,185.56,3.0833,Sustained Chaos,12.0
32,0.00910356,-6.812630,0.15788177,386.12,2.6689,Sustained Chaos,12.0
33,0.00541915,-6.914959,0.14656162,366.62,2.8278,Sustained Chaos,12.0
34,-0.01046363,-6.906093,0.14808673,384.56,2.6035,Sustained Chaos,12.0
35,-0.00595080,-6.937278,0.17111856,364.76,2.8392,Sustained Chaos,12.0
36,-0.00674407,-6.906159,0.22477531,366.97,2.7933,Sustained Chaos,12.0
37,0.01593046,-6.866369,0.21267700,404.96,2.3257,Sustained Chaos,12.0
38,-0.00840190,-6.884862,0.19980064,368.87,2.6891,Sustained Chaos,12.0
39,0.02058441,-6.731750,0.21955636,390.77,1.9901,Sustained Chaos,12.0
40,0.01128176,-6.692786,0.19594666,383.72,2.5247,Sustained Chaos,12.0
41,-0.00055604,-6.776208,0.17863332,205.10,3.0297,Sustained Chaos,12.0
42,0.01422257,-6.820352,0.15482093,394.11,2.3821,Sustained Chaos,12.0
43,0.00941662,-6.857394,0.14920691,386.35,2.6415,Sustained Chaos,12.0
44,0.00207391,-6.925306,0.15894273,301.66,2.9518,Sustained Chaos,12.0
45,0.00310035,-6.947680,0.16616791,323.94,2.9621,Sustained Chaos,12.0
46,0.00859772,-6.934969,0.14358145,382.43,2.7212,Sustained Chaos,12.0
47,-0.00890266,-6.978814,0.15502465,377.16,2.6872,Sustained Chaos,12.0
48,0.01979244,-6.921401,0.16075498,414.25,2.1093,Sustained Chaos,12.0
49,-0.01365645,-6.940525,0.17154257,398.73,2.4377,Sustained Chaos,12.0
50,0.26535144,-4.746157,0.31526852,169.77,-1.6092,Sustained Chaos,12.0
51,-0.05467107,-4.946861,0.25249729,413.89,1.0645,Sustained Chaos,12.0
52,-0.15577623,-4.892751,0.19649674,312.71,-0.4096,Sustained Chaos,12.0
53,0.01107123,-5.153644,0.19348311,331.63,1.8328,Sustained Chaos,12.0
54,0.02383754,-5.294187,0.24209803,396.64,1.6588,Sustained Chaos,12.0
55,0.10192255,-5.031045,0.27915779,365.20,0.2745,Sustained Chaos,12.0
56,0.05714902,-5.116774,0.22563949,407.06,1.0550,Sustained Chaos,12.0
57,0.36096087,-3.906961,0.34320748,213.95,-1.8268,Sustained Chaos,12.0
58,0.12661111,-4.025601,0.29309553,404.39,0.2434,Sustained Chaos,12.0
59,0.02512012,-4.369504,0.30492666,362.52,1.3034,Sustained Chaos,12.0
60,-0.06786021,-4.397872,0.37210172,402.18,0.8385,Sustained Chaos,12.0
61,-0.13521773,-4.192297,0.40973225,384.72,0.0821,Sustained Chaos,12.0
62,0.15106283,-4.206264,0.35170054,376.14,-0.0716,Sustained Chaos,12.0
63,0.15706763,-4.198063,0.32326570,383.97,-0.0953,Sustained Chaos,12.0
64,0.01922012,-4.493269,0.25628009,373.23,1.4628,Sustained Chaos,12.0
65,0.08120009,-4.545176,0.27684140,427.80,0.7840,Sustained Chaos,12.0
66,0.01148167,-4.739499,0.26684201,319.03,1.7142,Sustained Chaos,12.0
67,0.10927899,-4.553032,0.29198927,406.10,0.3586,Sustained Chaos,12.0
68,0.04882425,-4.662594,0.35635734,412.18,1.1671,Sustained Chaos,12.0
69,0.00346858,-4.809170,0.36528569,197.09,2.0268,Sustained Chaos,12.0
70,0.24488249,-4.072282,0.36243761,272.27,-1.1079,Sustained Chaos,12.0
71,0.08028594,-4.278838,0.29687262,414.81,0.7239,Sustained Chaos,12.0
72,-0.10211453,-4.317405,0.33161652,400.92,0.4643,Sustained Chaos,12.0
73,0.02784517,-4.448462,0.34303302,381.15,1.3557,Sustained Chaos,12.0
74,0.03284749,-4.614246,0.35881716,392.39,1.3199,Sustained Chaos,12.0
75,-0.14824416,-4.257426,0.34594890,365.18,-0.1305,Sustained Chaos,12.0
76,0.02611741,-4.452048,0.29078713,378.07,1.4245,Sustained Chaos,12.0
77,0.26358655,-3.903336,0.30940515,284.33,-1.0914,Sustained Chaos,12.0
78,-0.01203320,-4.161534,0.29657161,293.72,1.4845,Sustained Chaos,12.0
79,0.34446701,-3.564106,0.39890236,263.42,-1.4852,Sustained Chaos,12.0
80,-0.09121717,-3.804758,0.36661214,405.94,0.5519,Sustained Chaos,12.0
81,-0.05740513,-3.978296,0.37989327,407.37,0.8922,Sustained Chaos,12.0
82,0.02407246,-4.190126,0.37387925,354.50,1.3301,Sustained Chaos,12.0
83,0.01025306,-4.387265,0.36487928,269.68,1.7219,Sustained Chaos,12.0
84,0.10000508,-4.292330,0.35084844,386.64,0.4162,Sustained Chaos,12.0
85,0.02910464,-4.492837,0.27092800,383.92,1.4034,Sustained Chaos,12.0
86,-0.10697561,-4.430088,0.29266113,402.97,0.3889,Sustained Chaos,12.0
87,-0.00430851,-4.654891,0.32420856,232.97,1.8563,Sustained Chaos,12.0
88,0.21983436,-4.085521,0.32473063,307.02,-0.8401,Sustained Chaos,12.0
89,-0.08956246,-4.219878,0.28177378,405.83,0.5879,Sustained Chaos,12.0
90,0.04901319,-4.378895,0.27399275,406.35,1.0905,Sustained Chaos,12.0
91,-0.11942553,-4.311073,0.32654518,409.12,0.2989,Sustained Chaos,12.0
92,0.05336007,-4.389321,0.39096665,410.43,1.0659,Sustained Chaos,12.0
93,0.02055298,-4.524463,0.36961800,361.46,1.5028,Sustained Chaos,12.0
94,0.01182074,-4.651593,0.34474102,305.32,1.7725,Sustained Chaos,12.0
95,0.05517561,-4.683842,0.35845935,398.98,1.0426,Sustained Chaos,12.0
96,-0.01562282,-4.824567,0.34221014,344.89,1.7639,Sustained Chaos,12.0
97,-0.18209325,-4.183378,0.35542154,310.66,-0.5812,Sustained Chaos,12.0
98,-0.05777517,-4.358344,0.31517309,415.18,1.0251,Sustained Chaos,12.0
99,0.27011377,-3.815942,0.38627005,282.51,-1.1133,Sustained Chaos,12.0
100,-0.04538500,-4.004869,0.34047341,404.58,1.0494,Sustained Chaos,12.0
101,-0.02755001,-4.161774,0.33666351,384.65,1.2715,Sustained Chaos,12.0
102,0.01392746,-4.351852,0.33097547,332.21,1.5176,Sustained Chaos,12.0
103,-0.04997631,-4.432859,0.31840506,410.18,1.1148,Sustained Chaos,12.0
104,-0.05929754,-4.532191,0.32551146,411.15,0.9937,Sustained Chaos,12.0
105,0.04888217,-4.594127,0.33592302,406.29,1.1399,Sustained Chaos,12.0
106,-0.02334214,-4.753691,0.32397285,384.45,1.5617,Sustained Chaos,12.0
107,0.01237103,-4.899756,0.32490671,323.59,1.8342,Sustained Chaos,12.0
108,-0.02432594,-4.926377,0.25466499,379.18,1.5922,Sustained Chaos,12.0
109,-0.04927253,-4.941367,0.20526655,405.72,1.1783,Sustained Chaos,12.0
110,0.01132034,-5.117042,0.25059992,338.87,1.8799,Sustained Chaos,12.0
111,-0.01765579,-5.212550,0.30221364,371.90,1.8307,Sustained Chaos,12.0
112,-0.02717249,-5.226353,0.29810768,396.74,1.6404,Sustained Chaos,12.0
113,0.01897193,-5.300611,0.31227469,375.60,1.8457,Sustained Chaos,12.0
114,0.05092296,-5.195330,0.35513735,386.81,1.0751,Sustained Chaos,12.0
115,0.02157424,-5.236861,0.27048925,381.98,1.7927,Sustained Chaos,12.0
116,0.00871929,-5.411669,0.22420618,339.38,2.1200,Sustained Chaos,12.0
117,0.06686310,-5.237359,0.26395908,410.98,0.8707,Sustained Chaos,12.0
118,0.05495134,-5.176830,0.25375015,410.96,1.1134,Sustained Chaos,12.0
119,0.06055724,-5.164805,0.26740828,404.84,0.9885,Sustained Chaos,12.0
120,0.04661543,-5.177955,0.27290148,401.53,1.2375,Sustained Chaos,12.0
