scenario,sigma,had_nan,had_inf,min_ess,min_ess_t,max_h,max_vol,max_vol_t,recovery_time,failed_recovery,particle_collapse_count,final_vol,final_h
Single Spike,5.0,0,0,63.66,105,-3.2910,0.463963,24,0,0,0,0.217545,-5.8431
Single Spike,10.0,0,0,64.34,105,-3.2910,0.463963,24,0,0,0,0.217667,-5.8409
Single Spike,15.0,0,0,66.26,105,-3.2910,0.463963,24,0,0,0,0.217891,-5.8371
Single Spike,20.0,0,0,72.94,253,-3.2910,0.463963,24,0,0,0,0.202748,-5.7933
Single Spike,25.0,0,0,72.54,253,-3.2910,0.463963,24,0,0,0,0.203034,-5.7891
Single Spike,30.0,0,0,72.17,253,-3.1954,0.463963,24,0,0,0,0.203960,-5.7850
Single Spike,40.0,0,0,80.58,122,-2.8711,0.560109,106,0,0,0,0.219159,-5.8027
Single Spike,50.0,0,0,70.43,122,-2.5034,0.651791,106,0,0,0,0.219351,-5.7952
Double Spike,5.0,0,0,106.21,202,-2.5464,0.590125,171,0,0,0,0.281846,-4.7537
Double Spike,10.0,0,0,105.95,202,-2.4991,0.599491,171,0,0,0,0.283677,-4.7400
Double Spike,15.0,0,0,105.68,202,-2.4517,0.609623,171,0,0,0,0.285638,-4.7265
Double Spike,20.0,0,0,171.71,202,-2.5308,0.577467,165,0,0,0,0.251691,-4.7939
Double Spike,25.0,0,0,171.41,202,-2.4613,0.593994,165,0,0,0,0.253817,-4.7723
Double Spike,30.0,0,0,171.09,202,-2.3917,0.610207,165,0,0,0,0.255608,-4.7521
Double Spike,40.0,0,0,79.36,202,-2.2153,0.664663,165,0,0,0,0.300699,-4.6210
Double Spike,50.0,0,0,71.48,202,-2.0188,0.750288,101,0,0,0,0.337224,-4.5554
Flash Crash,5.0,0,0,91.09,114,-3.0462,0.491413,43,0,0,0,0.242881,-4.8018
Flash Crash,10.0,0,0,91.06,114,-3.0462,0.491413,43,0,0,0,0.242881,-4.8018
Flash Crash,15.0,0,0,91.02,114,-3.0462,0.491413,43,0,0,0,0.242881,-4.8018
Flash Crash,20.0,0,0,90.98,114,-3.0462,0.491413,43,0,0,0,0.242882,-4.8018
Flash Crash,25.0,0,0,91.04,114,-3.0462,0.491413,43,0,0,0,0.242881,-4.8018
Flash Crash,30.0,0,0,90.93,114,-3.0462,0.491413,43,0,0,0,0.242882,-4.8018
Flash Crash,40.0,0,0,90.64,114,-3.0462,0.491413,43,0,0,0,0.242882,-4.8018
Flash Crash,50.0,0,0,42.78,52,-2.8647,0.498378,68,0,0,0,0.263752,-4.8399
Sustained Chaos,5.0,0,0,50.70,105,-2.5241,0.581169,50,0,0,0,0.257650,-4.6419
Sustained Chaos,7.0,0,0,50.93,105,-2.5241,0.581155,50,0,0,0,0.257602,-4.6424
Sustained Chaos,10.0,0,0,51.25,105,-2.5241,0.581134,50,0,0,0,0.257527,-4.6431
Sustained Chaos,12.0,0,0,51.48,105,-2.5241,0.581120,50,0,0,0,0.257479,-4.6436
Sustained Chaos,15.0,0,0,72.38,105,-2.5241,0.581099,50,0,0,0,0.320588,-4.6046
Gradual Build,5.0,0,0,180.61,22,-2.7315,0.533948,98,0,0,0,0.308408,-4.4121
Gradual Build,10.0,0,0,180.61,22,-2.6921,0.541378,98,0,0,0,0.308507,-4.4109
Gradual Build,15.0,0,0,180.61,22,-2.6532,0.547682,98,0,0,0,0.308606,-4.4097
Gradual Build,20.0,0,0,180.61,22,-2.6142,0.555992,91,0,0,0,0.308706,-4.4085
Gradual Build,25.0,0,0,180.61,22,-2.5747,0.565670,91,0,0,0,0.308806,-4.4073
Gradual Build,30.0,0,0,180.61,22,-2.5351,0.575385,91,0,0,0,0.308907,-4.4062
Gradual Build,40.0,0,0,180.61,22,-2.4566,0.595316,91,0,0,0,0.309136,-4.4036
Gradual Build,50.0,0,0,180.61,22,-2.3796,0.614495,91,0,0,0,0.309341,-4.4012
